bbox_label,category,latitude,longitude,tags
35.0_-81.0,traffic_signals,35.0040154,-80.8809291,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0325718,-80.8764528,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0060418,-80.8941015,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0003505,-80.8699866,"{'highway': 'traffic_signals', 'traffic_signals': 'traffic_lights', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.0010006,-80.8627464,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.0133882,-80.8519514,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'forward'}"
35.0_-81.0,traffic_signals,35.0819500,-80.9338571,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0889350,-80.9226130,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.0012870,-80.9399440,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0028536,-80.9382732,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0626215,-80.9721711,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0073252,-80.9345114,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.0206751,-80.9213725,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0956334,-80.9370922,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.0238014,-80.9615135,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.0304150,-80.9673620,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0330195,-80.9698846,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0412137,-80.9826888,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0435157,-80.9857186,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0533188,-80.9919690,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0614246,-80.9914282,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0672420,-80.9904140,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.0087625,-80.9178046,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0057910,-80.9051390,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0690433,-80.9360152,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0607490,-80.9513631,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0613580,-80.9638620,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0954899,-80.9372136,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.0749941,-80.9351248,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0361896,-80.9693354,"{'highway': 'traffic_signals', 'traffic_signals': 'traffic_lights', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.0477947,-80.9712370,"{'highway': 'traffic_signals', 'traffic_signals': 'traffic_lights', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.0868904,-80.9560571,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0083603,-80.9431214,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0898316,-80.9295421,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.0077280,-80.9624040,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0094270,-80.9466520,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,crossing,35.0460706,-80.9892904,"{'crossing': 'marked', 'highway': 'crossing'}"
35.0_-81.0,traffic_signals,35.0073289,-80.9453643,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0253109,-80.9739895,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0770220,-80.9347811,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0840088,-80.9335224,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0839894,-80.9333813,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.0563803,-80.9378826,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.3744566,-80.5513521,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4243463,-80.7550952,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.3495964,-80.6907399,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.3202038,-80.6700680,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.3641690,-80.6691380,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3640912,-80.6690180,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,crossing,35.4099100,-80.5806174,"{'crossing': 'marked', 'highway': 'crossing'}"
35.0_-81.0,traffic_signals,35.4281960,-80.6119480,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3804237,-80.7248052,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.3813730,-80.5694100,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,crossing,35.4091880,-80.5809146,"{'crossing': 'marked', 'crossing:markings': 'lines;surface', 'highway': 'crossing'}"
35.0_-81.0,traffic_signals,35.3417920,-80.6384690,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3700770,-80.6655260,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3701650,-80.6656410,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4258917,-80.5955404,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4082407,-80.7307874,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.4393890,-80.6064320,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4395309,-80.6062968,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3981079,-80.6589438,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.4125049,-80.6660986,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4154767,-80.6680584,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4108650,-80.5843590,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.4976088,-80.6230346,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4888851,-80.6264609,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4761490,-80.6232600,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.2985060,-80.6281260,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3053563,-80.6393310,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,crossing,35.4164410,-80.5987860,"{'crossing': 'unmarked', 'crossing:markings': 'no', 'highway': 'crossing'}"
35.0_-81.0,traffic_signals,35.4847360,-80.6277210,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3154831,-80.6474047,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.4418278,-80.6081487,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
